,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
            Yahoo Help,Services,3671.708,1.639,100,100,100,151.784,9.734,12.187,4965.779,1.96,1.352
                Yahoo U.S. Help,Services,3274.327,1.461,100,100,100,135.329,7.117,8.316,4361.715,1.632,1.332
            Yahoo Toolbar,Services,3602.418,1.608,100,100,100,208.359,6.244,11.207,7589.746,0.823,2.107
                Yahoo U.S. Toolbar,Services,258.822,0.116,100,100,100,14.383,0.577,1.262,548.152,1.054,2.118
                Yahoo Bookmarks,Services,124.242,0.055,100,100,100,12.894,0.295,0.911,604.832,0.487,4.868
                Yahoo Mexico Toolbar,Services,3.034,0.001,100,100,,,,,,,
                Yahoo UK & Ireland Toolbar,Services,0.248,0,100,100,,,,,,,
            Yahoo Groups,"Services, Services - Discussion/Chat",3290.324,1.469,100,100,100,227.308,28.083,65.522,8443.443,3.326,2.566
                Yahoo U.S. Groups (Clubs),"Services, Services - Discussion/Chat",3164.296,1.412,100,100,100,219.234,27.154,62.294,8139.112,3.336,2.572
                Yahoo India Groups,"Services, Services - Discussion/Chat",50.056,0.022,100,100,,,,,,,
                Yahoo UK & Ireland Groups,"Services - Discussion/Chat, Services",47.376,0.021,100,100,,,,,,,
                Yahoo Canada Groups,"Services, Services - Discussion/Chat",25.087,0.011,100,100,,,,,,,
                Yahoo Mexico Groups (Clubs),"Services - Discussion/Chat, Services",19.904,0.009,100,100,,,,,,,
                Yahoo7 Groups,"Services, Services - Discussion/Chat",12.11,0.005,100,100,,,,,,,
                Yahoo Spain Groups,"Services, Services - Discussion/Chat",9.596,0.004,100,100,,,,,,,
                Yahoo Argentina Groups,"Services, Services - Discussion/Chat",3.731,0.002,100,100,,,,,,,
                Yahoo Asia Groups,"Services, Services - Discussion/Chat",3.402,0.002,100,100,,,,,,,
                Yahoo France Groups,"Services - Discussion/Chat, Services",2.802,0.001,100,100,,,,,,,
                YGROUPSBLOG.COM,"Social Media, Social Media - Blogs",0.745,0,100,100,,,,,,,
            Yahoo Education,"Education - Information, Education",2028.614,0.905,100,100,100,96.67,1.513,4.22,3148.28,0.481,1.552
            Yahoo Mobile,Telecommunications,1148.22,0.512,100,100,100,45.382,1.032,1.765,1436.817,0.718,1.251
                Yahoo U.S. Mobile,Telecommunications,1139.532,0.509,100,100,100,45.068,1.017,1.747,1427.093,0.713,1.252
            Yahoo En Espa̱ol,Lifestyles,1125.161,0.502,100,100,100,194.402,63.164,84.868,10804.443,5.846,9.603
            Yahoo Frontier,Portals,618.236,0.276,100,100,100,163.112,10.327,16.797,10472.773,0.986,16.94
