URL,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year,Description
http://archive.ics.uci.edu/ml/datasets/APS+Failure+at+Scania+Trucks,APS Failure at Scania Trucks,Multivariate,Classification,"Integer, Real",60000,171,2017,The datasets' positive class consists of component failures for a specific component of the APS system. The negative class consists of trucks with failures for components not related to the APS.
http://archive.ics.uci.edu/ml/datasets/Arcene,Arcene,Multivariate,Classification,Real,900,10000,2008,ARCENE's task is to distinguish cancer versus normal patterns from mass-spectrometric data. This is a two-class classification problem with continuous input variables. This dataset is one of 5 datasets of the NIPS 2003 feature selection challenge.
http://archive.ics.uci.edu/ml/datasets/Arrhythmia,Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1998,Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.
http://archive.ics.uci.edu/ml/datasets/Artificial+Characters,Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7,1992,Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet
http://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29,Audiology (Original),Multivariate,Classification,Categorical,226,,1987,Nominal audiology dataset from Baylor
http://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29,Audiology (Standardized),Multivariate,Classification,Categorical,226,69,1992,Standardized version of the original audiology database
http://archive.ics.uci.edu/ml/datasets/Audit+Data,Audit Data,Multivariate,Classification,Real,777,18,2018,Exhaustive one year non-confidential data in the year 2015 to 2016 of firms is collected from the Auditor Office of India to build a predictor for classifying suspicious firms.
http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs,Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15,1999,This data consists of sample of Auslan (Australian Sign Language) signs. Examples of 95 signs were collected from five signers with a total of 6650 sign samples.
http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29,Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22,2002,This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers
http://archive.ics.uci.edu/ml/datasets/Autism+Screening+Adult,Autism Screening Adult,,Classification,Integer,704,21,2017,Autistic Spectrum Disorder Screening Data for Adult. This dataset is related to classification and predictive tasks.
http://archive.ics.uci.edu/ml/datasets/Autistic+Spectrum+Disorder+Screening+Data+for+Adolescent+++,Autistic Spectrum Disorder Screening Data for Adolescent   ,Multivariate,Classification,Integer,104,21,2017,Autistic Spectrum Disorder Screening Data for Adolescent. This dataset is related to classification and predictive tasks.
http://archive.ics.uci.edu/ml/datasets/Autistic+Spectrum+Disorder+Screening+Data+for+Children++,Autistic Spectrum Disorder Screening Data for Children  ,Multivariate,Classification,Integer,292,21,2017,Children screening data for autism suitable for classification and predictive tasks
http://archive.ics.uci.edu/ml/datasets/Auto+MPG,Auto MPG,Multivariate,Regression,"Categorical, Real",398,8,1993,"Revised from CMU StatLib library, data concerns city-cycle fuel consumption"
http://archive.ics.uci.edu/ml/datasets/Automobile,Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26,1987,From 1985 Ward's Automotive Yearbook
http://archive.ics.uci.edu/ml/datasets/AutoUniv,AutoUniv,Multivariate,Classification,"Categorical, Integer, Real",,,2010,"AutoUniv is an advanced data generator for classifications tasks. The aim is to reflect the nuances and heterogeneity of real data. Data can be generated in .csv, ARFF or C4.5 formats."
http://archive.ics.uci.edu/ml/datasets/Avila,Avila,Multivariate,Classification,Real,20867,10,2018,"The Avila data set has been extracted from 800 images of the 'Avila Bible', an XII century giant Latin copy of the Bible. The prediction task consists in associating each pattern to a copyist."
http://archive.ics.uci.edu/ml/datasets/Bach+Choral+Harmony,Bach Choral Harmony,Sequential,Classification,,5665,17,2014,The data set is composed of 60 chorales (5665 events) by J.S. Bach (1675-1750). Each event of each chorale is labelled using 1 among 101 chord labels and described through 14 features.
http://archive.ics.uci.edu/ml/datasets/Bach+Chorales,Bach Chorales,"Univariate, Time-Series",,"Categorical, Integer",100,6,,Time-series data based on chorales; challenge is to learn generative grammar; data in Lisp
http://archive.ics.uci.edu/ml/datasets/Badges,Badges,"Univariate, Text",Classification,,294,1,1994,"Badges labeled with a ""+"" or ""-"" as a function of a person's name"
http://archive.ics.uci.edu/ml/datasets/Bag+of+Words,Bag of Words,Text,Clustering,Integer,8000000,100000,2008,This data set contains five text collections in the form of bags-of-words.
http://archive.ics.uci.edu/ml/datasets/Balance+Scale,Balance Scale,Multivariate,Classification,Categorical,625,4,1994,Balance scale weight & distance database
http://archive.ics.uci.edu/ml/datasets/Balloons,Balloons,Multivariate,Classification,Categorical,16,4,,Data previously used in cognitive psychology experiment; 4 data sets represent different conditions of an experiment
http://archive.ics.uci.edu/ml/datasets/Bank+Marketing,Bank Marketing,Multivariate,Classification,Real,45211,17,2012,The data is related with direct marketing campaigns (phone calls) of a Portuguese banking institution. The classification goal is to predict if the client will subscribe a term deposit (variable y).
http://archive.ics.uci.edu/ml/datasets/banknote+authentication,banknote authentication,Multivariate,Classification,Real,1372,5,2013,Data were extracted from images that were taken for the evaluation of an authentication procedure for banknotes.
