URL,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year,Description
http://archive.ics.uci.edu/ml/datasets/Cuff-Less+Blood+Pressure+Estimation,Cuff-Less Blood Pressure Estimation,Multivariate,"Classification, Regression",Real,12000,3,2015,This Data set provides preprocessed and cleaned vital signals which can be used in designing algorithms for cuff-less estimation of the blood pressure.
http://archive.ics.uci.edu/ml/datasets/Cylinder+Bands,Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39,1995,"Used in decision tree induction for mitigating process delays known as ""cylinder bands"" in rotogravure printing"
http://archive.ics.uci.edu/ml/datasets/Daily+and+Sports+Activities,Daily and Sports Activities,"Multivariate, Time-Series","Classification, Clustering",Real,9120,5625,2013,"The dataset comprises motion sensor data of 19 daily and sports activities each performed by 8 subjects in their own style for 5 minutes. Five Xsens MTx units are used on the torso, arms, and legs."
http://archive.ics.uci.edu/ml/datasets/Daily+Demand+Forecasting+Orders,Daily Demand Forecasting Orders,Time-Series,Regression,Integer,60,13,2017,"The dataset was collected during 60 days, this is a real database of a brazilian logistics company."
http://archive.ics.uci.edu/ml/datasets/Daphnet+Freezing+of+Gait,Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,9,2013,This dataset contains the annotated readings of 3 acceleration sensors at the hip and leg of Parkinson's disease patients that experience freezing of gait (FoG) during walking tasks.
http://archive.ics.uci.edu/ml/datasets/Data+for+Software+Engineering+Teamwork+Assessment+in+Education+Setting,Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series",Classification,"Integer, Real",74,102,2017,"Data include over 100 Team Activity Measures and outcomes (ML classes) obtained from activities of 74 student teams during the creation of final class project in SW Eng. classes at SFSU, Fulda, FAU"
http://archive.ics.uci.edu/ml/datasets/Dataset+for+ADL+Recognition+with+Wrist-worn+Accelerometer,Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series","Classification, Clustering",,,3,2014,Recordings of 16 volunteers performing 14 Activities of Daily Living (ADL) while carrying a single wrist-worn tri-axial accelerometer.
http://archive.ics.uci.edu/ml/datasets/Dataset+for+Sensorless+Drive+Diagnosis,Dataset for Sensorless Drive Diagnosis,Multivariate,Classification,Real,58509,49,2015,Features are extracted from motor current. The motor has intact and defective components. This results in 11 different classes with different conditions.
http://archive.ics.uci.edu/ml/datasets/DBWorld+e-mails,DBWorld e-mails,Text,Classification,,64,4702,2011,It contains 64 e-mails which I have manually collected from DBWorld mailing list. They are classified in
http://archive.ics.uci.edu/ml/datasets/Deepfakes%3A+Medical+Image+Tamper+Detection,Deepfakes: Medical Image Tamper Detection,Multivariate,Classification,Real,20000,200000,2020,"Medical deepfakes: CT scans of human lungs, where some have been tampered with cancer added/removed. Can you find them?"
http://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients,default of credit card clients,Multivariate,Classification,"Integer, Real",30000,24,2016,This research aimed at the case of customers’ default payments in Taiwan and compares the predictive accuracy of probability of default among six data mining methods.
http://archive.ics.uci.edu/ml/datasets/DeliciousMIL%3A+A+Data+Set+for+Multi-Label+Multi-Instance+Learning+with+Instance+Labels,DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text,Classification,Integer,12234,8519,2016,"This dataset includes 1) 12234 documents (8251 training, 3983 test) extracted from DeliciousT140 dataset, 2) class labels for all documents, 3) labels for a subset of sentences of the test documents."
http://archive.ics.uci.edu/ml/datasets/Demospongiae,Demospongiae,Multivariate,Classification,Integer,503,,2010,Marine sponges of the Demospongiae class classification domain.
http://archive.ics.uci.edu/ml/datasets/Dermatology,Dermatology,Multivariate,Classification,"Categorical, Integer",366,33,1998,Aim for this dataset is to determine the type of Eryhemato-Squamous Disease.
http://archive.ics.uci.edu/ml/datasets/Detect+Malacious+Executable%28AntiVirus%29,Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373,513,2016,I extract features from malacious and non-malacious and create and training dataset to teach svm classifier.Dataset made of unknown executable to detect if it is virus or normal safe executable.
http://archive.ics.uci.edu/ml/datasets/detection_of_IoT_botnet_attacks_N_BaIoT,detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential","Classification, Clustering",Real,7062606,115,2018,"This dataset addresses the lack of public botnet datasets, especially for the IoT. It suggests *real* traffic data, gathered from 9 commercial IoT devices authentically infected by Mirai and BASHLITE."
http://archive.ics.uci.edu/ml/datasets/Devanagari+Handwritten+Character+Dataset,Devanagari Handwritten Character Dataset,,Classification,Integer,92000,,2016,This is an image database of Handwritten Devanagari characters. There are 46 classes of characters with 2000 examples each. The dataset is split into training set(85%) and testing set(15%).
http://archive.ics.uci.edu/ml/datasets/Dexter,Dexter,Multivariate,Classification,Integer,2600,20000,2008,DEXTER is a text classification problem in a bag-of-word representation. This is a two-class classification problem with sparse continuous input variables. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.
http://archive.ics.uci.edu/ml/datasets/DGP2+-+The+Second+Data+Generation+Program,DGP2 - The Second Data Generation Program,Data-Generator,,Real,,,,"Generates application domains based on specific parameters, number of features, and proportion of positive to negative examples"
http://archive.ics.uci.edu/ml/datasets/Diabetes,Diabetes,"Multivariate, Time-Series",,"Categorical, Integer",,20,,This diabetes dataset is from AIM '94
http://archive.ics.uci.edu/ml/datasets/Diabetes+130-US+hospitals+for+years+1999-2008,Diabetes 130-US hospitals for years 1999-2008,Multivariate,"Classification, Clustering",Integer,100000,55,2014,This data has been prepared to analyze factors related to readmission as well as other outcomes pertaining to patients with diabetes.
http://archive.ics.uci.edu/ml/datasets/Diabetic+Retinopathy+Debrecen+Data+Set,Diabetic Retinopathy Debrecen Data Set,Multivariate,Classification,"Integer, Real",1151,20,2014,This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not.
http://archive.ics.uci.edu/ml/datasets/Discrete+Tone+Image+Dataset,Discrete Tone Image Dataset,Multivariate,Classification,,71,11,2018,"Discrete Tone Images(DTI)are available which needs to be analyzed in detail. Here, we created this dataset for those who do research in DTI."
http://archive.ics.uci.edu/ml/datasets/Dishonest+Internet+users+Dataset,Dishonest Internet users Dataset,Multivariate,"Classification, Clustering",,322,5,2018,The dataset was used to test an architecture based on a trust model capable to cope with the evaluation of the trustworthiness of users interacting in pervasive environments.
http://archive.ics.uci.edu/ml/datasets/Divorce+Predictors+data+set,Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54,2019,Participants completed the Personal Information Form and Divorce Predictors Scale.
http://archive.ics.uci.edu/ml/datasets/Document+Understanding,Document Understanding,,,,,,1994,"Five concepts, expressed as predicates, to be learned"
http://archive.ics.uci.edu/ml/datasets/Dodgers+Loop+Sensor,Dodgers Loop Sensor,"Multivariate, Time-Series",,"Categorical, Integer",50400,3,2006,Loop sensor data was collected for the Glendale on ramp for the 101 North freeway in Los Angeles
http://archive.ics.uci.edu/ml/datasets/Dorothea,Dorothea,Multivariate,Classification,Integer,1950,100000,2008,DOROTHEA is a drug discovery dataset. Chemical compounds represented by structural molecular features must be classified as active (binding to thrombin) or inactive. This is one of 5 datasets of the NIPS 2003 feature selection challenge.
http://archive.ics.uci.edu/ml/datasets/Dota2+Games+Results,Dota2 Games Results,Multivariate,Classification,,102944,116,2016,Dota 2 is a popular computer game with two teams of 5 players. At the start of the game each player chooses a unique hero with different strengths and weaknesses.
http://archive.ics.uci.edu/ml/datasets/Dow+Jones+Index,Dow Jones Index,Time-Series,"Classification, Clustering","Integer, Real",750,16,2014,This dataset contains weekly data for the Dow Jones Industrial Index. It has been used in computational investing research.
http://archive.ics.uci.edu/ml/datasets/Dresses_Attribute_Sales,Dresses_Attribute_Sales,Text,"Classification, Clustering",,501,13,2014,This dataset contain Attributes of dresses and their recommendations according to their sales.Sales are monitor on the basis of alternate days.
http://archive.ics.uci.edu/ml/datasets/DrivFace,DrivFace,Multivariate,"Classification, Regression, Clustering",Real,606,6400,2016,"The DrivFace contains images sequences of subjects while driving in real scenarios. It is composed of 606 samples of 640×480, acquired over different days from 4 drivers with several facial features."
http://archive.ics.uci.edu/ml/datasets/Drug+consumption+%28quantified%29,Drug consumption (quantified),Multivariate,Classification,Real,1885,32,2016,Classify type of drug consumer by personality data
http://archive.ics.uci.edu/ml/datasets/Drug+Review+Dataset+%28Druglib.com%29,Drug Review Dataset (Druglib.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,4143,8,2018,"The dataset provides patient reviews on specific drugs along with related conditions. Reviews and ratings are grouped into reports on the three aspects benefits, side effects and overall comment."
http://archive.ics.uci.edu/ml/datasets/Drug+Review+Dataset+%28Drugs.com%29,Drug Review Dataset (Drugs.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,215063,6,2018,The dataset provides patient reviews on specific drugs along with related conditions and a 10 star patient rating reflecting overall patient satisfaction.
http://archive.ics.uci.edu/ml/datasets/DSRC+Vehicle+Communications,DSRC Vehicle Communications,"Sequential, Text",Clustering,Real,10000,5,2017,This set Provides data regarding wireless communications between vehicles and road side units. two separate data sets are provided (normal scenario) and in the presence of attacker (jammer).
http://archive.ics.uci.edu/ml/datasets/Dynamic+Features+of+VirusShare+Executables,Dynamic Features of VirusShare Executables,"Multivariate, Time-Series","Classification, Regression",Integer,107888,482,2017,"This dataset contains the dynamic features of 107,888 executables, collected by VirusShare from Nov/2010 to Jul/2014."
http://archive.ics.uci.edu/ml/datasets/E.+Coli+Genes,E. Coli Genes,Relational,,,,,2001,"Data giving characteristics of each ORF (potential gene) in the E. coli genome. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided."
http://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%92s+disease+based+on+natural+connected+speech,Early biomarkers of Parkinson's disease based on natural connected speech,Multivariate,"Classification, Regression","Integer, Real",130,65,2017,Predict a pattern of neurodegeneration in the dataset of speech features obtained from patients with early untreated Parkinson’s disease and patients at high risk developing Parkinson’s disease.
http://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%E2%80%99s+disease+based+on+natural+connected+speech+Data+Set+,Early biomarkers of Parkinson's disease based on natural connected speech Data Set ,Multivariate,Classification,Real,,,2018,
http://archive.ics.uci.edu/ml/datasets/EBL+Domain+Theories,EBL Domain Theories,,,,,,,Assorted small-scale domain theories
http://archive.ics.uci.edu/ml/datasets/Echocardiogram,Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12,1989,Data for classifying if patients will survive for at least one year after a heart attack
http://archive.ics.uci.edu/ml/datasets/Eco-hotel,Eco-hotel,Text,,,401,1,2017,"This dataset includes Online Textual Reviews from both online (e.g., TripAdvisor) and offline (e.g., Guests' book) sources from the Areias do Seixo Eco-Resort."
http://archive.ics.uci.edu/ml/datasets/Ecoli,Ecoli,Multivariate,Classification,Real,336,8,1996,This data contains protein localization sites
http://archive.ics.uci.edu/ml/datasets/Economic+Sanctions,Economic Sanctions,Domain-Theory,,,,,,Domain Theory on Economic Sanctions; Undocumented
http://archive.ics.uci.edu/ml/datasets/Educational+Process+Mining+%28EPM%29%3A+A+Learning+Analytics+Data+Set,Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,230318,13,2015,Educational Process Mining data set is built from the recordings of 115 subjects' activities through a logging application while learning with an educational simulator.
http://archive.ics.uci.edu/ml/datasets/EEG+Database,EEG Database,"Multivariate, Time-Series",,"Categorical, Integer, Real",122,4,1999,This data arises from a large study to examine EEG correlates of genetic predisposition to alcoholism. It contains measurements from 64 electrodes placed on the scalp sampled at 256 Hz
http://archive.ics.uci.edu/ml/datasets/EEG+Eye+State,EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",14980,15,2013,The data set consists of 14 EEG values and a value indicating the eye state.
http://archive.ics.uci.edu/ml/datasets/EEG+Steady-State+Visual+Evoked+Potential+Signals,EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series","Classification, Regression",Integer,9200,16,2018,This database consists on 30 subjects performing Brain Computer Interface for Steady State Visual Evoked Potentials (BCI-SSVEP).
http://archive.ics.uci.edu/ml/datasets/El+Nino,El Nino,Spatio-temporal,,"Integer, Real",178080,12,1999,The data set contains oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific.
http://archive.ics.uci.edu/ml/datasets/Electrical+Grid+Stability+Simulated+Data+,Electrical Grid Stability Simulated Data ,Multivariate,"Classification, Regression",Real,10000,14,2018,The local stability analysis of the 4-node star system (electricity producer is in the center) implementing Decentral Smart Grid Control concept.
http://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014,ElectricityLoadDiagrams20112014,Time-Series,"Regression, Clustering",Real,370,140256,2015,This data set contains electricity consumption of 370 points/clients.
http://archive.ics.uci.edu/ml/datasets/EMG+data+for+gestures,EMG data for gestures,Time-Series,Classification,Real,30000,6,2019,These are files of raw EMG data recorded by MYO Thalmic bracelet
http://archive.ics.uci.edu/ml/datasets/EMG+dataset+in+Lower+Limb,EMG dataset in Lower Limb,"Multivariate, Time-Series",,Real,132,5,2014,3 different exercises
http://archive.ics.uci.edu/ml/datasets/EMG+Physical+Action+Data+Set,EMG Physical Action Data Set,Time-Series,Classification,Real,10000,8,2011,The Physical Action Data Set includes 10 normal and 10 aggressive physical actions that measure the human activity. The data have been collected by 4 subjects using the Delsys EMG wireless apparatus.
http://archive.ics.uci.edu/ml/datasets/Energy+efficiency,Energy efficiency,Multivariate,"Classification, Regression","Integer, Real",768,8,2012,"This study looked into assessing the heating load and cooling load requirements of buildings (that is, energy efficiency) as a function of building parameters."
http://archive.ics.uci.edu/ml/datasets/Entree+Chicago+Recommendation+Data,Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender-Systems,Categorical,50672,,2000,This data contains a record of user interactions with the Entree Chicago restaurant recommendation system.
http://archive.ics.uci.edu/ml/datasets/Epileptic+Seizure+Recognition,Epileptic Seizure Recognition,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",11500,179,2017,This dataset is a pre-processed and re-structured/reshaped version of a very commonly used dataset featuring epileptic seizure detection.
http://archive.ics.uci.edu/ml/datasets/Exasens,Exasens,Multivariate,"Classification, Clustering",Integer,399,4,2020,This repository introduces a novel dataset for the classification of 4 groups of respiratory diseases
http://archive.ics.uci.edu/ml/datasets/extention+of+Z-Alizadeh+sani+dataset,extention of Z-Alizadeh sani dataset,,Classification,"Integer, Real",303,59,2017,It was collected for CAD diagnosis.
http://archive.ics.uci.edu/ml/datasets/Facebook+Comment+Volume+Dataset,Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",40949,54,2016,Instances in this dataset contain features extracted from facebook posts. The task associated with the data is to predict how many comments the post will receive.
http://archive.ics.uci.edu/ml/datasets/Facebook+Live+Sellers+in+Thailand,Facebook Live Sellers in Thailand,Multivariate,Clustering,Integer,7051,12,2019,"Facebook pages of 10 Thai fashion and cosmetics retail sellers. Posts of a different nature (video, photos, statuses, and links). Engagement metrics consist of comments, shares, and reactions."
http://archive.ics.uci.edu/ml/datasets/Facebook+metrics,Facebook metrics,Multivariate,Regression,Integer,500,19,2016,Facebook performance metrics of a renowned cosmetic's brand Facebook page.
http://archive.ics.uci.edu/ml/datasets/Farm+Ads,Farm Ads,Text,Classification,,4143,54877,2011,This data was collected from text ads found on twelve websites that deal with various farm animal related topics. The binary labels are based on whether or not the content owner approves of the ad.
http://archive.ics.uci.edu/ml/datasets/Fertility,Fertility,Multivariate,"Classification, Regression",Real,100,10,2013,"100 volunteers provide a semen sample analyzed according to the WHO 2010 criteria. Sperm concentration are related to socio-demographic data, environmental factors, health status, and life habits"
http://archive.ics.uci.edu/ml/datasets/Firm-Teacher_Clave-Direction_Classification,Firm-Teacher_Clave-Direction_Classification,Multivariate,Classification,,10800,20,2015,The data are binary attack-point vectors and their clave-direction class(es) according to the partido-alto-based paradigm.
http://archive.ics.uci.edu/ml/datasets/First-order+theorem+proving,First-order theorem proving,Multivariate,Classification,Real,6118,51,2013,"Given a theorem, predict which of five heuristics will give the fastest proof when used by a first-order prover. A sixth prediction declines to attempt a proof, should the theorem be too difficult."
http://archive.ics.uci.edu/ml/datasets/Flags,Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990,"From Collins Gem Guide to Flags, 1986"
http://archive.ics.uci.edu/ml/datasets/FMA%3A+A+Dataset+For+Music+Analysis,FMA: A Dataset For Music Analysis,"Multivariate, Time-Series","Classification, Clustering",Real,106574,518,2017,"FMA features 106,574 tracks and includes song title, album, artist, genres; play counts, favorites, comments; description, biography, tags; together with audio (343 days, 917 GiB) and features."
http://archive.ics.uci.edu/ml/datasets/Folio,Folio,Multivariate,"Classification, Clustering",,637,20,2015,20 photos of leaves for each of 32 different species.
http://archive.ics.uci.edu/ml/datasets/Forest+Fires,Forest Fires,Multivariate,Regression,Real,517,13,2008,"This is a difficult regression task, where the aim is to predict the burned area of forest fires, in the northeast region of Portugal, by using meteorological and other data (see details at"
http://archive.ics.uci.edu/ml/datasets/Forest+type+mapping,Forest type mapping,Multivariate,Classification,,326,27,2015,Multi-temporal remote sensing data of a forested area in Japan. The goal is to map different forest types using spectral data.
http://archive.ics.uci.edu/ml/datasets/Function+Finding,Function Finding,,Function-Learning,Real,352,,1990,Cases collected mostly from investigations in physical science; intention is to evaluate function-finding algorithms
http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset,Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,128,2012,This archive contains 13910 measurements from 16 chemical sensors utilized in simulations for drift compensation in a discrimination task of 6 gases at various levels of concentrations.
http://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations,Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series","Classification, Regression, Clustering, Causa",Real,13910,129,2013,This archive contains 13910 measurements from 16 chemical sensors exposed to 6 different gases at various concentration levels.
http://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+exposed+to+turbulent+gas+mixtures,Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,180,150000,2014,A chemical detection platform composed of 8 chemoresistive gas sensors was exposed to turbulent gas mixtures generated naturally in a wind tunnel. The acquired time series of the sensors are provided.
http://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+temperature+modulation,Gas sensor array temperature modulation,"Multivariate, Time-Series","Classification, Regression",Real,4095000,20,2019,A chemical detection platform composed of 14 temperature-modulated metal oxide (MOX) gas sensors was exposed during 3 weeks to mixtures of carbon monoxide and humid synthetic air in a gas chamber.
http://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+dynamic+gas+mixtures,Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,4178504,19,2015,"The data set contains the recordings of 16 chemical sensors exposed to two dynamic gas mixtures at varying concentrations. For each mixture, signals were acquired continuously during 12 hours."
http://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+flow+modulation,Gas sensor array under flow modulation,"Multivariate, Time-Series","Classification, Regression",Real,58,120432,2014,The data set contains 58 time series acquired from 16 chemical sensors under gas flow modulation conditions. The sensors were exposed to different gaseous binary mixtures of acetone and ethanol.
http://archive.ics.uci.edu/ml/datasets/Gas+sensor+arrays+in+open+sampling+settings,Gas sensor arrays in open sampling settings,"Multivariate, Time-Series",Classification,Real,18000,1950000,2013,The dataset contains 18000 time-series recordings from a chemical detection platform at six different locations in a wind tunnel facility in response to ten high-priority chemical gaseous substances
http://archive.ics.uci.edu/ml/datasets/Gas+sensors+for+home+activity+monitoring,Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,919438,11,2016,100 recordings of a sensor array under different conditions in a home setting
http://archive.ics.uci.edu/ml/datasets/Gastrointestinal+Lesions+in+Regular+Colonoscopy,Gastrointestinal Lesions in Regular Colonoscopy,Multivariate,Classification,Real,76,698,2016,This dataset contains features extracted from colonoscopy videos used to detect gastrointestinal lesions. It contains 76 lesions
http://archive.ics.uci.edu/ml/datasets/gene+expression+cancer+RNA-Seq,gene expression cancer RNA-Seq,Multivariate,"Classification, Clustering",Real,801,20531,2016,"This collection of data is part of the RNA-Seq (HiSeq) PANCAN data set, it is a random extraction of gene expressions of patients having different types of tumor"
http://archive.ics.uci.edu/ml/datasets/Geographical+Original+of+Music,Geographical Original of Music,Multivariate,"Classification, Regression",Real,1059,68,2014,Instances in this dataset contain audio features extracted from 1059 wave files. The task associated with the data is to predict the geographical origin of music.
http://archive.ics.uci.edu/ml/datasets/Geo-Magnetic+field+and+WLAN+dataset+for+indoor+localisation+from+wristband+and+smartphone,Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",153540,25,2017,A multisource and multivariate dataset for indoor localisation methods based on WLAN and Geo-Magnetic ?eld ?ngerprinting
http://archive.ics.uci.edu/ml/datasets/Gesture+Phase+Segmentation,Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Real,9900,50,2014,"The dataset is composed by features extracted from 7 videos with people gesticulating, aiming at studying Gesture Phase Segmentation. It contains 50 attributes divided into two files for each video."
http://archive.ics.uci.edu/ml/datasets/Gisette,Gisette,Multivariate,Classification,Integer,13500,5000,2008,GISETTE is a handwritten digit recognition problem. The problem is to separate the highly confusible digits '4' and '9'. This dataset is one of five datasets of the NIPS 2003 feature selection challenge.
http://archive.ics.uci.edu/ml/datasets/Glass+Identification,Glass Identification,Multivariate,Classification,Real,214,10,1987,"From USA Forensic Science Service; 6 types of glass; defined in terms of their oxide content (i.e. Na, Fe, K, etc)"
http://archive.ics.uci.edu/ml/datasets/GNFUV+Unmanned+Surface+Vehicles+Sensor+Data,GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series",Regression,Real,1672,5,2018,"The data-set contains four (4) sets of mobile sensor readings data (humidity, temperature) corresponding to a swarm of four (4) Unmanned Surface Vehicles (USVs) in a test-bed in Athens (Greece)."
http://archive.ics.uci.edu/ml/datasets/GNFUV+Unmanned+Surface+Vehicles+Sensor+Data+Set+2,GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series",Regression,Real,10190,6,2018,"The data-set contains eight (2x4) data-sets of mobile sensor readings data (humidity, temperature) corresponding to a swarm of four Unmanned Surface Vehicles (USVs) in a test-bed, Athens, Greece."
http://archive.ics.uci.edu/ml/datasets/GPS+Trajectories,GPS Trajectories,Multivariate,"Classification, Regression",Real,163,15,2016,The dataset has been feed by Android app called Go!Track. It is available at Goolge Play Store(https
http://archive.ics.uci.edu/ml/datasets/Grammatical+Facial+Expressions,Grammatical Facial Expressions,"Multivariate, Sequential","Classification, Clustering",Real,27965,100,2014,This dataset supports the development of models that make possible to interpret Grammatical Facial Expressions from Brazilian Sign Language (Libras).
http://archive.ics.uci.edu/ml/datasets/Greenhouse+Gas+Observing+Network,Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,2921,5232,2015,Design an observing network to monitor emissions of a greenhouse gas (GHG) in California given time series of synthetic observations and tracers from weather model simulations.
http://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival,Haberman's Survival,Multivariate,Classification,Integer,306,3,1999,Dataset contains cases from study conducted on the survival of patients who had undergone surgery for breast cancer
http://archive.ics.uci.edu/ml/datasets/Hayes-Roth,Hayes-Roth,Multivariate,Classification,Categorical,160,5,1989,Topic
http://archive.ics.uci.edu/ml/datasets/HCC+Survival,HCC Survival,Multivariate,Classification,"Integer, Real",165,49,2017,Hepatocellular Carcinoma dataset (HCC dataset) was collected at a University Hospital in Portugal. It contains real clinical data of 165 patients diagnosed with HCC.
http://archive.ics.uci.edu/ml/datasets/Health+News+in+Twitter,Health News in Twitter,Text,Clustering,Real,58000,25000,2018,"The data was collected in 2015 using Twitter API. This dataset contains health news from more than 15 major health news agencies such as BBC, CNN, and NYT."
http://archive.ics.uci.edu/ml/datasets/Heart+Disease,Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75,1988,4 databases
http://archive.ics.uci.edu/ml/datasets/Heart+failure+clinical+records,Heart failure clinical records,Multivariate,"Classification, Regression, Clustering","Integer, Real",299,13,2020,"This dataset contains the medical records of 299 patients who had heart failure, collected during their follow-up period, where each patient profile has 13 clinical features."
http://archive.ics.uci.edu/ml/datasets/Hepatitis,Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,1988,From G.Gong
http://archive.ics.uci.edu/ml/datasets/Hepatitis+C+Virus+%28HCV%29+for+Egyptian+patients,Hepatitis C Virus (HCV) for Egyptian patients,Multivariate,Classification,"Integer, Real",1385,29,2019,Egyptian patients who underwent treatment dosages for HCV about 18 months. Discretization should be applied based on expert recommendations; there is an attached file shows how.
http://archive.ics.uci.edu/ml/datasets/HEPMASS,HEPMASS,Multivariate,Classification,Real,10500000,28,2016,The search for exotic particles requires sorting through a large number of collisions to find the events of interest. This data set challenges one to detect a new particle of unknown mass.
http://archive.ics.uci.edu/ml/datasets/Heterogeneity+Activity+Recognition,Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,43930257,16,2015,"The Heterogeneity Human Activity Recognition (HHAR) dataset from Smartphones and Smartwatches is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc.) in real-world contexts; specifically, the dataset is gathered with a variety of different device models and use-scenarios, in order to reflect sensing heterogeneities to be expected in real deployments."
http://archive.ics.uci.edu/ml/datasets/HIGGS,HIGGS,,Classification,Real,11000000,28,2014,This is a classification problem to distinguish between a signal process which produces Higgs bosons and a background process which does not.
http://archive.ics.uci.edu/ml/datasets/Hill-Valley,Hill-Valley,Sequential,Classification,Real,606,101,2008,"Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y co-ordinate, the points will create either a Hill (a ?bump? in the terrain) or a Valley (a ?dip? in the terrain)."
http://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage,HIV-1 protease cleavage,Multivariate,Classification,Categorical,6590,1,2015,The data contains lists of octamers (8 amino acids) and a flag (-1 or 1) depending on whether HIV-1 protease will cleave in the central position (between amino acids 4 and 5).
http://archive.ics.uci.edu/ml/datasets/Horse+Colic,Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989," Well documented attributes; 368 instances with 28 attributes (continuous, discrete, and nominal); 30% missing values"
http://archive.ics.uci.edu/ml/datasets/HTRU2,HTRU2,Multivariate,"Classification, Clustering",Real,17898,9,2017,"Pulsar candidates collected during the HTRU survey. Pulsars are a type of star, of considerable scientific interest. Candidates must be classified in to pulsar and non-pulsar classes to aid discovery."
http://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+from+Continuous+Ambient+Sensor+Data,Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",13956534,37,2019,This dataset represents ambient data collected in homes with volunteer residents. Data are collected continuously while residents perform their normal routines.
http://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones,Human Activity Recognition Using Smartphones,"Multivariate, Time-Series","Classification, Clustering",,10299,561,2012,Human Activity Recognition database built from the recordings of 30 subjects performing activities of daily living (ADL) while carrying a waist-mounted smartphone with embedded inertial sensors.
http://archive.ics.uci.edu/ml/datasets/Hybrid+Indoor+Positioning+Dataset+from+WiFi+RSSI%2C+Bluetooth+and+magnetometer,"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series",Classification,Real,1540,65,2016,"The dataset was created for the comparison and evaluation of hybrid indoor positioning methods. The dataset presented contains data from W-LAN and Bluetooth interfaces, and Magnetometer."
